1,请描述一次你与难打交道的同事的相处经历，你是如何与其沟通的？,沟通能力
2,你如何解决和同事、领导之间的冲突？,沟通能力
3,你接到一个任务，需要我的参与，但我和你不在一个部门，你会怎么处理？,沟通能力
4,领导提出了一个你觉得无法实现的功能，你会怎么处理？,沟通能力
5,当你的上司对你的工作成果感到不满意时，你是怎么和他谈这件事的？,沟通能力
6,你有在工作中与同事、上级争吵的经历吗?你如何看待这些经历?,沟通能力
7,您是否有带领团队的经历？能详细说下吗？,领导能力
8,请描述一次你的团队陷入困境而你领导了团队走出困境的经历。,领导能力
9,如果你的团队成员不服从你的安排或者指示，你会怎么做？,领导能力
10,你有过领导项目/团队的经验吗？请谈谈你对领导力的理解。,领导能力
11,在团队合作时，某个成员总是提出与你相反的意见，你是如何处理的？,团队合作能力
12,如果团队领导者鼓励团队成员相互竞争而不是合作，你是如何想的？你会有什么样的反应？,团队合作能力
13,你更喜欢团队合作还是单打独斗？为什么？,团队合作能力
14,在团队项目中遇到冲突你是如何处理的？,团队合作能力
15,如果上级给你安排了一个几乎不可能完成的任务，你会怎么做？,承受能力
16,如果你处于一个极度的压力之下，任务非常紧急，但是你写的程序却崩溃了，你会怎么做？,承受能力
17,销售承诺了客户很多难以实现的需求，你如何处理？,承受能力
18,如果你认为上司给自己布置了太难的任务，你会怎么做？,承受能力
19,请描述一次某任务优先级突然改变而你必须去适应的经历。,适应能力
20,如果你的上级给你分配了多个任务，而这些任务的deadline相同，你会怎么做？,适应能力
21,你有错过deadline（或者差点错过）的经历吗？在意识到自己掉队后，你是怎么做的？你从中学到了什么？,适应能力
22,如果你不喜欢上级的管理风格，你会怎么做？,适应能力
23,你一般怎么样学习一项新技术？,学习能力
24,你如何了解自己专业领域的最新动态？近期让你印象深刻的有哪些？,学习能力
25,请讲讲你从某个项目或任务中学到了什么？,学习能力
26,为了提升你的工作效率，近来你都做了些什么？,学习能力
